demand,fixed_time_min,episode,rgap
1300,0.5,0,7.013698593814515
1300,0.5,1,6.929657648700436
1300,0.5,2,7.065716422487296
1300,0.5,3,5.932898501904724
1300,0.5,4,7.961846026238498
1300,0.5,5,7.247383386856941
1300,0.5,6,8.420569593640973
1300,0.5,7,7.665726438860385
1300,0.5,8,6.065382400995247
1300,0.5,9,6.17638118587605
1300,0.5,10,7.652484712160515
1300,0.5,11,7.438341055644219
1300,0.5,12,6.402391959890608
1300,0.5,13,6.581967380421555
1300,0.5,14,6.472866993583137
1300,0.5,15,5.919688360542484
1300,0.5,16,6.891308607231295
1300,0.5,17,6.424258360206289
1300,0.5,18,8.026046830349017
1300,0.5,19,7.991009413012094
1300,0.5,20,7.142072772197965
1300,0.5,21,5.421437563686097
1300,0.5,22,7.705787238303681
1300,0.5,23,7.9532036503732755
1300,0.5,24,7.0283727276796135
1300,0.5,25,6.866423008803903
1300,0.5,26,4.0853431728525464
1300,0.5,27,2.3955028257442836
1300,0.5,28,2.008482366618904
1300,0.5,29,0.6707074847415179
1300,0.5,30,0.3783044349091156
1300,0.5,31,-0.3863076883085093
1300,0.5,32,-0.5189168774816075
1300,0.5,33,-1.0912815391600639
1300,0.5,34,-2.066827656703189
1300,0.5,35,-2.3416948599886562
1300,0.5,36,-3.485691938742238
1300,0.5,37,-3.906978647406756
1300,0.5,38,-3.542028310525754
1300,0.5,39,-4.5481720523985425
1300,0.5,40,-4.136816599257466
1300,0.5,41,-4.117580528563585
1300,0.5,42,-4.649029626826586
1300,0.5,43,-4.354235835508616
1300,0.5,44,-4.681162117332732
1300,0.5,45,-5.14080353051847
1300,0.5,46,-4.4145983268047155
1300,0.5,47,-4.829453965089746
1300,0.5,48,-4.980572349819301
1300,0.5,49,-4.476823580461998
1300,0.5,50,-4.796504282040818
1300,0.5,51,-4.653932395639545
1300,0.5,52,-5.202620072670867
1300,0.5,53,-5.0456512331551355
1300,0.5,54,-5.207025810833299
1300,0.5,55,-5.361112675264214
1300,0.5,56,-5.1764556701075115
